이름,평점,주소,좌표,구,위도,경도,Cluster
가마솥한우국밥,-,서울특별시 강서구 강서로 349,"(37.55678169999999, 126.837378)",강서구,37.5567817,126.837378,[10]
의성식당,-,서울특별시 강서구 공항대로59가길 25-6,"(37.5517703, 126.865459)",강서구,37.5517703,126.865459,[9]
남춘네숯불닭갈비,-,서울특별시 강서구 등촌로 47-1,"(37.5342414, 126.8632705)",강서구,37.5342414,126.86327050000001,[11]
삼부숯불구이,-,서울특별시 강서구 공항대로 14,"(37.56129749999999, 126.808716)",강서구,37.561297499999995,126.80871599999999,[]
사랑방손칼국수,-,서울특별시 강서구 국회대로 249-1,"(37.5300006, 126.8626583)",강서구,37.5300006,126.86265829999999,[11]
꼼떼바베큐,-,서울특별시 강서구 마곡중앙로 161-11 라마다호텔 B1,"(37.5677844, 126.8266858)",강서구,37.5677844,126.8266858,[]
밀작,-,서울특별시 강서구 방화동로12길 18,"(37.5664569, 126.8136472)",강서구,37.5664569,126.8136472,[]
숙달돼지,-,서울특별시 강서구 강서로 415,"(37.5535944, 126.8412653)",강서구,37.553594399999994,126.84126529999999,[10]
에머이,-,서울특별시 강서구 마곡서로 152 두산더랜드타워 B동 108-109호,"(37.5619185, 126.826919)",강서구,37.5619185,126.82691899999999,[10]
선식당,-,서울특별시 강서구 우현로 5,"(37.5466225, 126.8445271)",강서구,37.5466225,126.8445271,[]
청풍동태탕,-,서울특별시 강서구 화곡로68길 15 아벨테크노 2F 212호,"(37.5593942, 126.8554059)",강서구,37.55939420000001,126.85540590000001,[12]
사이공윤다이,-,서울특별시 강서구 마곡중앙5로1길 20 218호,"(37.5594238, 126.8265243)",강서구,37.5594238,126.8265243,[10]
안영자면옥,-,서울특별시 강서구 마곡중앙4로 22,"(37.5594238, 126.8265243)",강서구,37.5594238,126.8265243,[10]
도화림,-,서울특별시 강서구 강서로 391 문영비즈웍스 206호,"(37.5602415, 126.838684)",강서구,37.5602415,126.83868400000001,[10]
등촌샤브칼국수,-,서울특별시 강서구 강서로56가길 65 아트빌딩 2F,"(37.5624478, 126.8403528)",강서구,37.562447799999994,126.84035279999999,[10]
쿠시야,-,서울특별시 강서구 가로공원로76길 45 1F,"(37.535051, 126.8378637)",강서구,37.535051,126.83786370000001,[]
식바,-,서울특별시 강서구 화곡로18길 27,"(37.5389975, 126.8360339)",강서구,37.5389975,126.83603390000002,[]
츄카롱,-,서울특별시 강서구 마곡중앙로 161-1 캐슬파크 212호,"(37.55319679999999, 126.8298352)",강서구,37.5531968,126.82983519999999,[]
파파진구,-,서울특별시 강서구 공항대로59길 20-3,"(37.5525618, 126.8640867)",강서구,37.55256179999999,126.86408670000002,[9]
맛거리,4.6,서울특별시 강서구 화곡로25길 8,"(37.5415488, 126.8382856)",강서구,37.541548799999994,126.83828559999999,[]
해촌칼국수,-,서울특별시 강서구 강서로 348,"(37.5560356, 126.840219)",강서구,37.5560356,126.84021899999999,[10]
제이든,-,서울특별시 강서구 마곡중앙8로 90 마곡아이파크 217호,"(37.5730312, 126.8384273)",강서구,37.5730312,126.8384273,[]
MODU’S CAFE,-,서울특별시 강서구 곰달래로 72 호텔타워 1F,"(37.529938, 126.8408348)",강서구,37.529938,126.8408348,[]
도쿄빙수,-,서울특별시 강서구 마곡중앙로 161-1 마곡나루역캐슬파크 2F 217호,"(37.5677127, 126.8276089)",강서구,37.5677127,126.82760890000002,[]
양평해장국,-,서울특별시 강서구 공항대로 242 212호,"(37.5533338, 126.8510294)",강서구,37.5533338,126.8510294,[12]
고양이후추,-,서울특별시 강서구 공항대로59다길 267,"(37.5481371, 126.876644)",강서구,37.548137100000005,126.876644,[9]
특별하면돼지,-,서울특별시 강서구 곰달래로60길 33,"(37.5307544, 126.8632782)",강서구,37.5307544,126.86327820000001,[11]
설화랑,-,서울특별시 강서구 강서로 381-7 예원빌딩 2F,"(37.530687, 126.8465673)",강서구,37.530687,126.84656729999999,[]
쉐드커피,4.7,서울특별시 강서구 마곡중앙6로 16 1F,"(37.561211, 126.8276279)",강서구,37.561211,126.82762790000001,[10]
린치타이,-,서울특별시 강서구 방화대로47가길 41,"(37.578086, 126.813611)",강서구,37.578086,126.81361100000001,[]
커피볶는곤이네집,-,서울특별시 강서구 곰달래로 116-1 m타워,"(37.5303019, 126.8458797)",강서구,37.5303019,126.8458797,[]
파파노다이닝,-,서울특별시 강서구 마곡서로 170 103호,"(37.5619185, 126.826919)",강서구,37.5619185,126.82691899999999,[10]
남대문커피,-,서울특별시 강서구 공항대로 247,"(37.5533338, 126.8510294)",강서구,37.5533338,126.8510294,[12]
마곡테이블,-,서울특별시 강서구 마곡중앙6로 63 테크노타워 1F 107호,"(37.5609501, 126.8628976)",강서구,37.5609501,126.8628976,[]
